frame,par1,par2,par3,par4,par5,par6,media
818,245.40,146.57,,102.99,,,164.99
819,106.05,250.25,,147.70,,,168.00
820,111.18,252.19,,144.68,,,169.35
821,252.70,113.26,,143.19,,,169.72
822,111.10,,,,,,111.10
823,105.14,,,,,,105.14
825,100.62,,,,,,100.62
826,97.63,173.55,,261.99,,,177.72
827,100.09,173.70,,265.36,,,179.72
830,101.72,,,,,,101.72
831,102.27,,,,,,102.27
832,99.01,,,,,,99.01
833,100.90,,,,,,100.90
834,99.89,,,,,,99.89
835,98.71,,,,,,98.71
836,99.66,,,,,,99.66
837,100.21,,,,,,100.21
838,99.17,,,,,,99.17
839,100.82,265.59,,169.33,,,178.58
840,100.99,,,,,,100.99
841,101.13,,,,,,101.13
842,100.48,,,,,,100.48
843,102.37,,,,,,102.37
844,102.66,172.08,,271.10,,,181.95
845,101.71,,,,,,101.71
846,103.36,178.96,,278.73,,,187.02
847,103.82,,,,,,103.82
848,104.00,,,,,,104.00
849,103.48,,,,,,103.48
850,102.41,,,,,,102.41
851,98.80,,,,,,98.80
852,88.80,,,,,,88.80
853,87.12,,,,,,87.12
855,107.02,,,,,,107.02
856,118.08,,,,,,118.08
857,120.12,,,,,,120.12
858,318.42,120.07,,199.26,,,212.58
859,120.16,,,,,,120.16
860,122.99,,,,,,122.99
861,124.10,,,,,,124.10
862,123.44,,,,,,123.44
863,132.23,,,,,,132.23
864,182.35,134.21,,313.82,,,210.13
865,134.91,,,,,,134.91
866,133.94,,,,,,133.94
867,134.86,,,,,,134.86
868,137.31,,,,,,137.31
869,137.73,,,,,,137.73
870,138.64,,,,,,138.64
871,139.02,,,,,,139.02
872,139.67,,,,,,139.67
873,143.94,,,,,,143.94
874,141.23,,,,,,141.23
875,139.94,,,,,,139.94
876,146.03,,,,,,146.03
877,150.60,,,,,,150.60
878,146.10,,,,,,146.10
879,146.31,,,,,,146.31
880,139.07,,,,,,139.07
882,140.64,,,,,,140.64
889,194.94,,,,,,194.94
890,190.49,,,,,,190.49
891,182.95,,,,,,182.95
892,179.59,,,,,,179.59
893,187.28,,,,,,187.28
894,190.86,,,,,,190.86
895,188.72,,,,,,188.72
896,184.24,,,,,,184.24
897,177.10,,,,,,177.10
898,172.87,,,,,,172.87
899,166.33,,,,,,166.33
900,163.68,,,,,,163.68
901,165.05,,,,,,165.05
902,165.32,,,,,,165.32
903,167.16,,,,,,167.16
904,161.85,,,,,,161.85
905,153.12,,,,,,153.12
906,140.09,,,,,,140.09
907,138.60,,,,,,138.60
908,139.68,,,,,,139.68
909,144.46,,,,,,144.46
910,151.40,,,,,,151.40
911,152.70,,,,,,152.70
912,339.96,153.52,,188.09,,,227.19
913,191.90,153.95,,343.20,,,229.68
914,155.46,,,,,,155.46
915,157.36,,,,,,157.36
917,198.25,,,,,,198.25
918,187.66,,,,,,187.66
919,188.05,,,,,,188.05
920,191.06,,,,,,191.06
921,192.35,,,,,,192.35
922,193.28,,,,,,193.28
923,192.67,,,,,,192.67
924,189.31,,,,,,189.31
925,181.32,,,,,,181.32
926,172.84,,,,,,172.84
927,158.89,,,,,,158.89
928,145.81,,,,,,145.81
929,139.98,,,,,,139.98
930,137.24,,,,,,137.24
931,133.85,,,,,,133.85
932,133.88,,,,,,133.88
933,206.40,,,,,,206.40
934,211.46,,,,,,211.46
936,214.22,,,,,,214.22
937,213.10,,,,,,213.10
938,213.10,,,,,,213.10
939,227.52,,,,,,227.52
940,221.25,,,,,,221.25
941,224.81,,,,,,224.81
942,226.77,,,,,,226.77
943,222.10,,,,,,222.10
949,211.83,,,,,,211.83
950,208.78,346.77,,140.24,,,231.93
951,213.52,351.06,,140.32,,,234.97
952,209.62,346.34,,138.95,,,231.64
953,346.72,207.40,,141.14,,,231.75
954,346.72,207.40,,141.14,,,231.75
955,335.27,197.55,,140.92,,,224.58
956,141.76,,,,,,141.76
957,145.99,199.04,,342.45,,,229.16
958,146.95,348.73,,204.19,,,233.29
959,145.16,205.69,,347.85,,,232.90
960,144.05,,,,,,144.05
961,143.78,,,,,,143.78
962,142.27,,,,,,142.27
963,193.36,139.79,,329.36,,,220.84
964,138.86,,,,,,138.86
965,141.80,,,,,,141.80
966,138.07,,,,,,138.07
967,131.88,,,,,,131.88
968,209.76,339.39,,132.89,,,227.35
969,213.05,344.29,,134.52,,,230.62
970,213.05,344.29,,134.52,,,230.62
971,194.72,322.40,,133.36,,,216.83
972,194.72,322.40,,133.36,,,216.83
973,125.85,,,,,,125.85
975,123.64,,,,,,123.64
976,127.35,,,,,,127.35
978,197.52,326.15,,132.40,,,218.69
979,137.43,,,,,,137.43
980,195.94,334.96,,142.56,,,224.49
981,195.28,335.64,,143.48,,,224.80
982,338.99,200.30,,141.69,,,226.99
983,337.46,196.65,,143.93,,,226.01
984,199.01,340.53,,144.16,,,227.90
985,339.12,196.19,,145.48,,,226.93
986,339.79,196.99,,145.77,,,227.52
987,339.99,195.64,,147.59,,,227.74
988,345.32,196.07,,152.32,,,231.24
989,351.83,196.35,,158.71,,,235.63
990,198.70,,,,,,198.70
991,198.70,,,,,,198.70
992,198.70,,,,,,198.70
993,203.11,403.35,,208.71,,,271.72
994,198.57,,,,,,198.57
995,198.30,,,,,,198.30
996,199.71,,,,,,199.71
997,199.00,,,,,,199.00
998,199.76,,,,,,199.76
999,196.59,,,,,,196.59
1000,198.22,,,,,,198.22
1001,391.15,198.29,,202.52,,,263.99
1002,199.64,397.25,,206.99,,,267.96
1003,198.74,,,,,,198.74
1004,198.93,,,,,,198.93
1005,196.53,,,,,,196.53
1006,195.97,,,,,,195.97
1007,196.19,,,,,,196.19
1008,350.09,170.45,,188.30,,,236.28
1009,327.61,153.82,,182.79,,,221.41
1010,316.14,145.00,,182.08,,,214.41
1011,143.21,311.38,,178.85,,,211.15
1012,308.40,141.66,,177.77,,,209.28
1013,136.65,180.03,,307.42,,,208.03
1014,179.00,136.57,,306.89,,,207.49
1015,181.69,,,,,,181.69
1016,184.36,,,,,,184.36
1017,185.19,314.87,,136.44,,,212.17
1018,324.25,,,,,,324.25
1019,190.01,135.40,,319.10,,,214.84
1020,199.62,324.23,,132.84,,,218.90
1021,204.59,130.87,,327.45,,,220.97
1022,204.59,130.87,,327.45,,,220.97
1023,127.95,,,,,,127.95
1024,128.12,,,,,,128.12
1025,127.05,,,,,,127.05
1026,122.51,,,,,,122.51
